SCC: ,SCC Descriptions: ,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NOX to TotalPop,Deaths from PM25-PRI to TotalPop,Deaths from SO2 to TotalPop,Deaths from VOC to TotalPop,Deaths from NOX to WhiteNoLat,Deaths from PM25-PRI to WhiteNoLat,Deaths from SO2 to WhiteNoLat,Deaths from VOC to WhiteNoLat,Deaths from NOX to Black,Deaths from PM25-PRI to Black,Deaths from SO2 to Black,Deaths from VOC to Black,Deaths from NOX to Native,Deaths from PM25-PRI to Native,Deaths from SO2 to Native,Deaths from VOC to Native,Deaths from NOX to Asian,Deaths from PM25-PRI to Asian,Deaths from SO2 to Asian,Deaths from VOC to Asian,Deaths from NOX to Other,Deaths from PM25-PRI to Other,Deaths from SO2 to Other,Deaths from VOC to Other,Deaths from NOX to Latino,Deaths from PM25-PRI to Latino,Deaths from SO2 to Latino,Deaths from VOC to Latino,Deaths from NOX to Poverty,Deaths from PM25-PRI to Poverty,Deaths from SO2 to Poverty,Deaths from VOC to Poverty,Deaths from NOX to TwoXPov,Deaths from PM25-PRI to TwoXPov,Deaths from SO2 to TwoXPov,Deaths from VOC to TwoXPov
2310002421,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil And Gas Production;Cold Vents""",0,0,0,6549.1785827586,0,0,0,0.0040933519,0,0,0,0.0018143859,0,0,0,0.0005825867,0,0,0,1.23237966726675E-05,0,0,0,0.000106918,0,0,0,5.838793460318E-05,0,0,0,0.0015187495,0,0,0,0.0007082556,0,0,0,0.0023831117
2310023509,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives""",0,0,0,11537708.0494314,0,0,0,3.5905878019,0,0,0,2.645394624,0,0,0,0.1953334677,0,0,0,0.0171173452,0,0,0,0.0624572734,0,0,0,0.0651790514,0,0,0,0.6051060267,0,0,0,0.4732178244,0,0,0,2.349971546
2310022010,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Storage Tanks: Condensate""",0,0,0,142.0552736117,0,0,0,0.0001410544,0,0,0,5.98024238420103E-05,0,0,0,0.000027499,0,0,0,4.01158536625625E-07,0,0,0,4.70937402896175E-06,0,0,0,1.81348387123229E-06,0,0,0,4.68288842898575E-05,0,0,0,2.46202556438925E-05,0,0,0,8.19529100508277E-05
2310111100,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Exploration;Mud Degassing""",,,,44315235.1183386,0,0,0,17.3631417333,0,0,0,11.9628400394,0,0,0,1.5589862672,0,0,0,0.2499529665,0,0,0,0.2819649137,0,0,0,0.4239464052,0,0,0,2.8854511532,0,0,0,2.7323509977,0,0,0,10.4590713157
2310021505,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Fugitives:  Valves""",0,0,0,37818233.4582278,0,0,0,18.0819111541,0,0,0,13.191181025,0,0,0,1.9834373043,0,0,0,0.2344825848,0,0,0,0.3097240829,0,0,0,0.4363818629,0,0,0,1.9267043036,0,0,0,2.978126137,0,0,0,10.8715681422
2310020700,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well fugitives""",,,,7445594.788785,0,0,0,1.1977088391,0,0,0,0.9688314259,0,0,0,0.0759635497,0,0,0,0.0175831974,0,0,0,0.0200667268,0,0,0,0.0213379399,0,0,0,0.093925999,0,0,0,0.1570369658,0,0,0,0.7840658817
2310012020,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Storage Tanks: Crude Oil""",0,0,0,999.7266696945,0,0,0,0.000509834,0,0,0,0.0002319706,0,0,0,5.62271126147532E-05,0,0,0,1.58668727653266E-06,0,0,0,1.10612374275309E-05,0,0,0,7.70917396739468E-06,0,0,0,0.0002012792,0,0,0,8.77431037797288E-05,0,0,0,0.0002971895
2310021411,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Dehydrators - Flaring""",371.94585,0,0,0,0.000328467,0,0,0,0.0002620481,0,0,0,2.10141668204776E-05,0,0,0,2.09828748463582E-06,0,0,0,0.000006002,0,0,0,6.15245761594123E-06,0,0,0,0.000031152,0,0,0,4.3900862011104E-05,0,0,0,0.0002146548,0,0,0
2310023511,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives: Connectors""",,,,850168.74638462,0,0,0,0.6170111044,0,0,0,0.4154575857,0,0,0,0.1492150919,0,0,0,0.006832145,0,0,0,0.0078738597,0,0,0,0.0121614763,0,0,0,0.0254709467,0,0,0,0.11567936,0,0,0,0.3508820868
2310021506,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Fugitives:  Other""",0,0,0,34068150.6417844,0,0,0,16.4999392952,0,0,0,11.5832018411,0,0,0,1.703975225,0,0,0,0.1743381016,0,0,0,0.3207100289,0,0,0,0.361527589,0,0,0,2.3561865182,0,0,0,2.6337545979,0,0,0,10.041868296
