SCC: ,NOX (s),PM25-PRI (s),SO2 (s),VOC (s),deaths
2310111700,386021.6168664872,10328.301225000001,380003.6014515237,2.7698445724903397e+07,14.470489091529867
2310023030,,,,12021.457610506499,0.005901708914527949
2310010200,755414.417173454,0,4.0116468402444893e+06,2.4550244487770846e+08,82.34262465705932
2310030401,0,0,0,81864.63748364999,0.0229866591531777
2310012511,0,0,0,0.023249558533139997,1.1838490366106439e-08
2310000000,9.836734446243972e+06,7360.58812503498,10475.7726100603,4.840924307477371e+06,14.663118244739067
2310022410,0,0,17.691558996,0,0.00010285374509928266
2310021302,1.6396960929187045e+08,1.3697744516662247e+06,46911.969084753844,2.544818675424403e+06,251.1996678800807
2310023102,4225.5951552,105.22620251999999,1.2807456393,220.8632601,0.00754066522052487
2310002000,0,0,0,141.66942968745002,7.224757848070236e-05
2310021602,,,,7.373307657148499e+06,2.1636102797342596
2310012521,0,0,0,0.02041115084766,1.0389565172130073e-08
2310002421,0,0,0,6549.178582758599,0.004093352829983915
2310002411,0,0,0,28.976214647999996,2.4500331174845247e-05
2310011450,0,0,0,1.1097318174068186e+08,49.187601161924114
2310023516,,,,1.6875532556908585e+06,1.3099163703127217
2310011506,0,0,0,1.1709529093455214e+07,6.068974701003752
